,timestamp,tweet_text,username,all_hashtags,followers_count
27,2021-04-23 08:48:34,b'Is there a @Nespresso machine compatible with @home_assistant #amazonalexa #applesiri or #google ?',b'notessensei',"['amazonalexa', 'applesiri', 'google']",3299
28,2021-04-23 08:43:47,b'How to Calculate Conversion Rate? https://t.co/ab1x35zCaE #conversionrates #blog #website #Calculate #Howto #AmazonAlexa #statistics https://t.co/YRvOHCyKPM',b'ProfileTreeBHR',"['conversionrates', 'blog', 'website', 'Calculate', 'Howto', 'AmazonAlexa', 'statistics']",155
29,2021-04-23 00:21:29,"b'If evil be spoken of you and it be true, correct yourself, if it be a lie, laugh at it. -Epictetus  #amazonalexa #Anger #antique #business #Discipline #GrowthMindset #Knowledge #KnowledgeIsPower #leadership #management #Mindset #mindsetmatters  https://t.co/l3JWvdv3db https://t.co/OtD5qhimBQ'",b'EveryDayStoics',"['amazonalexa', 'Anger', 'antique', 'business', 'Discipline', 'GrowthMindset', 'Knowledge', 'KnowledgeIsPower', 'leadership', 'management', 'Mindset', 'mindsetmatters']",251
30,2021-04-22 22:22:26,b'Today I asked my Alexa to play @BrettYoungMusic (the country singer). In between playing his music this played. \xe2\x80\x98Never Again\xe2\x80\x99 was actually pretty good.   #music #amazonalexa https://t.co/klk0UYRQHj',b'MusicColby',"['music', 'amazonalexa']",87
31,2021-04-22 18:05:00,"b'Today, I learned that you can ask @AmazonAlexa to make fart sounds so I promptly made a video and sent it to my niece who shares a similar sense of humor. #guncle'",b'CleverMktr',['guncle'],147
32,2021-04-22 16:52:12,b'@bidenzleftnut Omg I\xe2\x80\x99ve been getting calls from the navy every day for the last week. Talking about \xe2\x80\x9cmy interest in the navy\xe2\x80\x9d WHERE',b'amazonalexa_',[],638
33,2021-04-22 16:28:15,b'How to Calculate Conversion Rate? https://t.co/YGlvmoKPGB #conversionrates #blog #website #Calculate #Howto #AmazonAlexa #statistics https://t.co/XpnXprTC0c',b'ProfiletreeLS',"['conversionrates', 'blog', 'website', 'Calculate', 'Howto', 'AmazonAlexa', 'statistics']",265
34,2021-04-22 13:00:10,b'How to Calculate Conversion Rate? https://t.co/Gl6si9dxUe #conversionrates #blog #website #Calculate #Howto #AmazonAlexa #statistics https://t.co/7XI6SFoAPw',b'ProfileTreeDelh',"['conversionrates', 'blog', 'website', 'Calculate', 'Howto', 'AmazonAlexa', 'statistics']",209
35,2021-04-22 12:32:30,b'Visit the Wozart website to learn how to make your home smart and how smart home technologies can enhance your living.  Visit Wozart -  https://t.co/WA3a0dLmWp  #Wozart #smarthomes #smartliving  #switchtosmart #homeautomation #iot #alexa #amazonalexa #googlehome https://t.co/LqN0m8joeH',b'Wozart',"['Wozart', 'smarthomes', 'smartliving', 'switchtosmart', 'homeautomation', 'iot', 'alexa', 'amazonalexa', 'googlehome']",92
36,2021-04-22 11:05:02,b'7 things you didn\xe2\x80\x99t know Alexa could do on an Amazon Echo smart speaker https://t.co/DCRb022cjy #AmazonAlexa #AskAlexa #Alexa #AmazonEcho #AmazonEchoDot',b'thomas_metz',"['AmazonAlexa', 'AskAlexa', 'Alexa', 'AmazonEcho', 'AmazonEchoDot']",1880
